_id,abbreviation,name
akel-nd,"{""el"":""ΑΚΕΛ–ΝΔ"",""en"":""Akel–ND"",""tr"":""AKEL–ND""}","{""el"":""ΑΚΕΛ – Αριστερά – Νέες Δυνάμεις"",""en"":""AKEL – Left – New Forces"",""tr"":""AKEL – Sol – Yeni Güçler""}"
allilengyi,"{""el"":""Αλληλεγγύη"",""en"":""Solidarity"",""tr"":""Dayanışma""}","{""el"":""Κίνημα Αλληλεγγύη"",""en"":""Solidarity Movement"",""tr"":""Dayanışma Hareketi""}"
diko,"{""el"":""ΔΗΚΟ"",""en"":""Diko"",""tr"":""DİKO""}","{""el"":""Δημοκρατικό Κόμμα"",""en"":""Democratic Party"",""tr"":""Demokrat Parti""}"
disy,"{""el"":""ΔΗΣΥ"",""en"":""Disy"",""tr"":""DİSİ""}","{""el"":""Δημοκρατικός Συναγερμός"",""en"":""Democratic Rally"",""tr"":""Demokratik Seferberlik""}"
edek,"{""el"":""ΕΔΕΚ"",""en"":""Edek"",""tr"":""EDEK""}","{""el"":""Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ"",""en"":""Movement for Social Democracy EDEK"",""tr"":""EDEK Sosyal Demokratlar Hareketi""}"
elam,"{""el"":""ΕΛΑΜ"",""en"":""Elam"",""tr"":""ELAM""}","{""el"":""Εθνικό Λαϊκό Μέτωπο"",""en"":""National Popular Front"",""tr"":""Ulusal Halk Cephesi""}"
evroko,"{""el"":""ΕΥΡΩΚΟ"",""en"":""Evroko"",""tr"":""EVROKO""}","{""el"":""Ευρωπαϊκό Κόμμα"",""en"":""European Party"",""tr"":""Avrupa Partisi""}"
kisos,"{""el"":""ΚΙ.ΣΟΣ."",""en"":""Kisos"",""tr"":""KISOS""}","{""el"":""Κίνημα Σοσιαλδημοκρατών"",""en"":""Movement for Social Democracy"",""tr"":""Sosyal Demokratlar Hareketi""}"
oikologoi,"{""el"":""Οικολόγοι"",""en"":""Greens"",""tr"":""Yeşilleri""}","{""el"":""Κίνημα Οικολόγων Περιβαλλοντιστών"",""en"":""Cyprus Green Party"",""tr"":""Çevreciler Hareketi""}"
oikologoi-sp,"{""el"":""Οικολόγοι–ΣΠ"",""en"":""Greens–CC"",""tr"":null}","{""el"":""Κίνημα Οικολόγων – Συνεργασία Πολιτών"",""en"":""Cyprus Greens – Citizens Cooperation"",""tr"":null}"
sypol,"{""el"":""ΣΥΠΟΛ"",""en"":""Sypol"",""tr"":""SİPOL""}","{""el"":""Συμμαχία Πολιτών"",""en"":""Citizens’ Alliance"",""tr"":""Vatandaşlar İttifakı""}"

